pair;phd_candidate;supervisor;country;institute;subfield;pmid;owner;position_author_supervisor;concern_methods_tools_devlpmnt_or_review;thesis_year;thesis_title;thesis_link;doi;oa_status;issn;journal;publisher;publication_date_unpaywall;is_open_data;open_data_category;is_open_code;open_data_statements;open_code_statements;downloaded;manual_check_code_th;manual_check_code_mh;identifier;assessment;trn;has_trn_secondary_id;has_trn_abstract;has_trn_ft
11;Maximilian Grosch;Sibylle Ziegler;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;neurology;29582780;supervisor;last;no;2021;Metabolic brain connectivity after acute unilateral vestibulopathy: Longitudinal analysis and single subject classification in the rat.;https://edoc.ub.uni-muenchen.de/28874/7/Grosch_Maximilian.pdf;10.1088/1361-6560/aab9d1;closed;1361-6560;Physics in Medicine & Biology;IOP Publishing;01.05.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
11;Maximilian Grosch;Sibylle Ziegler;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;neurology;28055983;supervisor;last;no;2021;Metabolic brain connectivity after acute unilateral vestibulopathy: Longitudinal analysis and single subject classification in the rat.;https://edoc.ub.uni-muenchen.de/28874/7/Grosch_Maximilian.pdf;10.1088/1361-6579/aa5071;closed;0967-3334,1361-6579;Physiological Measurement;IOP Publishing;05.01.2017;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA
11;Maximilian Grosch;Sibylle Ziegler;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;neurology;28976912;supervisor;last;no;2021;Metabolic brain connectivity after acute unilateral vestibulopathy: Longitudinal analysis and single subject classification in the rat.;https://edoc.ub.uni-muenchen.de/28874/7/Grosch_Maximilian.pdf;10.1088/1361-6560/aa910d;closed;1361-6560;Physics in Medicine & Biology;IOP Publishing;01.11.2017;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA
14;Anna Rubinski;Michael Ewers;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;neuroscience;33765424;candidate;na;no;2021;Effects of Amyloid and Tau Pathology on Brain Function and Cognition in Alzheimer's Disease;https://edoc.ub.uni-muenchen.de/28793/1/Rubinski_Anna.pdf;10.1016/j.neurobiolaging.2021.02.003;closed;0197-4580;Neurobiology of Aging;Elsevier BV;01.06.2021;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
16;Alexander F Lipka;Verschuuren, J.J.G.M.;Netherlands;Leiden UMC;autoimmunity;28271514;supervisor;last;no;2021;Autoimmunity at the neuromuscular synapse: pathophysiology and disease course;https://hdl.handle.net/1887/3246848;10.1002/mus.25641;closed;0148-639X;Muscle & Nerve;Wiley;09.05.2017;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
17;Annelieke C Kruithof;Jacobus Burggraaf;Netherlands;Leiden UMC;drug_development;31306369;supervisor;last;no;2021;Evaluating the effects of sugammadex on coagulation in humans: reversed translational research to unravel off-target pharmacology;https://hdl.handle.net/1887/3247173;10.1097/fjc.0000000000000695;closed;0160-2446;Journal of Cardiovascular Pharmacology;Ovid Technologies (Wolters Kluwer Health);01.08.2019;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA
17;Annelieke C Kruithof;Jacobus Burggraaf;Netherlands;Leiden UMC;drug_development;33155541;candidate;na;no;2021;Evaluating the effects of sugammadex on coagulation in humans: reversed translational research to unravel off-target pharmacology;https://hdl.handle.net/1887/3247173;10.5414/cp203858;closed;0946-1965;Int. Journal of Clinical Pharmacology and Therapeutics;Dustri-Verlgag Dr. Karl Feistle;01.02.2021;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA
17;Annelieke C Kruithof;Jacobus Burggraaf;Netherlands;Leiden UMC;drug_development;32383642;candidate;na;no;2021;Evaluating the effects of sugammadex on coagulation in humans: reversed translational research to unravel off-target pharmacology;https://hdl.handle.net/1887/3247173;10.5414/cp203733;closed;0946-1965;Int. Journal of Clinical Pharmacology and Therapeutics;Dustri-Verlgag Dr. Karl Feistle;01.07.2020;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA
18;Iris Kramer;Marjanka Schmidt;Netherlands;Leiden UMC;cancer;30199881;supervisor;last;no;2021;Double trouble: exploring risk factors to better predict contralateral breast cancer;https://hdl.handle.net/1887/3247221;10.1159/000492662;closed;1662-4246,1662-8063;Public Health Genomics;S. Karger AG;01.01.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
18;Iris Kramer;Marjanka Schmidt;Netherlands;Leiden UMC;cancer;29461872;supervisor;last;no;2021;Double trouble: exploring risk factors to better predict contralateral breast cancer;https://hdl.handle.net/1887/3247221;10.1089/gtmb.2017.0222;closed;1945-0265,1945-0257;Genetic Testing and Molecular Biomarkers;Mary Ann Liebert Inc;01.03.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
19;Koen T van Hamersveld;Rob G H H Nelissen;Netherlands;Leiden UMC;orthopedics;32162046;supervisor;last;no;2021;Risk factors for long-term failure of orthopaedic medical devices: taking advantage of RSA as an early detection tool;https://hdl.handle.net/1887/3245131;10.1007/s00167-020-05914-9;closed;0942-2056,1433-7347;Knee Surgery, Sports Traumatology, Arthroscopy;Springer Science and Business Media LLC;11.03.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
19;Koen T van Hamersveld;Rob G H H Nelissen;Netherlands;Leiden UMC;orthopedics;31274722;candidate;na;no;2021;Risk factors for long-term failure of orthopaedic medical devices: taking advantage of RSA as an early detection tool;https://hdl.handle.net/1887/3245131;10.2106/jbjs.18.00691;closed;0021-9355,1535-1386;Journal of Bone and Joint Surgery;Ovid Technologies (Wolters Kluwer Health);03.07.2019;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA
20;Christoph GstÃƒÂ¶ttner;Manfred Wuhrer;Netherlands;Leiden UMC;medical_chemistry;29264912;candidate;na;no;2021;Boosting mass spectrometry-based analytics for biopharma;https://hdl.handle.net/1887/3245884;10.1021/acs.analchem.7b04372;closed;0003-2700,1520-6882;Analytical Chemistry;American Chemical Society (ACS);16.01.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
21;Rachid Abou;Jeroen J Bax;Netherlands;Leiden UMC;cardiology;32828778;supervisor;last;no;2021;The role of advanced echocardiography in patients with ischemic heart disease;https://hdl.handle.net/1887/3243601;10.1016/j.jcmg.2020.06.032;closed;1936-878X;JACC: Cardiovascular Imaging;Elsevier BV;01.04.2021;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
21;Rachid Abou;Jeroen J Bax;Netherlands;Leiden UMC;cardiology;32404401;candidate;na;yes;2021;The role of advanced echocardiography in patients with ischemic heart disease;https://hdl.handle.net/1887/3243601;10.1136/heartjnl-2019-316215;closed;1355-6037,1468-201X;Heart;BMJ;13.05.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
24;Edouard L. Fu;Friedo W. Dekker;Netherlands;Leiden UMC;cardiology;30215791;candidate;na;yes;2021;Optimal cardiovascular treatment strategies in kidney disease: causal inference from observational data;https://hdl.handle.net/1887/3221348;10.1093/ndt/gfy283;closed;0931-0509,1460-2385;Nephrology Dialysis Transplantation;Oxford University Press (OUP);11.09.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
24;Edouard L. Fu;Friedo W. Dekker;Netherlands;Leiden UMC;cardiology;33372009;candidate;na;no;2021;Optimal cardiovascular treatment strategies in kidney disease: causal inference from observational data;https://hdl.handle.net/1887/3221348;10.1681/asn.2020050682;closed;1046-6673,1533-3450;Journal of the American Society of Nephrology;American Society of Nephrology (ASN);28.12.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
25;Loes Soetens;Jacco Wallinga;Netherlands;Leiden UMC;epidemiology;29629940;supervisor;last;no;2021;Patterns and scales in infectious disease surveillance data: an exploratory data analysis approach;https://hdl.handle.net/1887/3247049;10.1097/ede.0000000000000841;closed;1044-3983;Epidemiology;Ovid Technologies (Wolters Kluwer Health);01.07.2018;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA
29;Bharath Sampadi;SilvÃƒÂ¨re van der Maarel;Netherlands;Leiden UMC;toxicology;31676591;supervisor;last;no;2021;Dose-dependent and compound-specific phospho-signalling responses after (geno)toxic treatment;https://hdl.handle.net/1887/3240142;10.1136/jmedgenet-2019-106402;closed;0022-2593,1468-6244;Journal of Medical Genetics;BMJ;01.11.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
30;Renate M Hoogeveen;E.S.G. Kroes;Netherlands;Amsterdam UMC;vascular_biology;34632502;supervisor;last;no;2021;From targeting major cardiovascular players to precision medicine;https://hdl.handle.net/11245.1/b6f7cfc6-2a36-45bd-bccb-46871da257be;10.1093/eurjpc/zwab167;closed;2047-4873,2047-4881;European Journal of Preventive Cardiology;Oxford University Press (OUP);11.10.2021;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
31;Marit Navis;R.M. van Elburg;Netherlands;Amsterdam UMC;epidemiology;29205630;supervisor;last;no;2021;From in vitro to in vivo models, and the impact of early life nutrition;https://hdl.handle.net/11245.1/856901ab-6b10-4e58-b5f6-4b222d3bb827;10.1111/jpc.13775;closed;1034-4810;Journal of Paediatrics and Child Health;Wiley;05.12.2017;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
31;Marit Navis;R.M. van Elburg;Netherlands;Amsterdam UMC;epidemiology;29193281;supervisor;last;no;2021;From in vitro to in vivo models, and the impact of early life nutrition;https://hdl.handle.net/11245.1/856901ab-6b10-4e58-b5f6-4b222d3bb829;10.1111/apa.14167;closed;0803-5253;Acta Paediatrica;Wiley;26.12.2017;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
1;Sabrina T Wiebe;Gerd Mikus;Germany;Universitat Heidelberg;drug_development;31601999;supervisor;last;no;2020;Midazolam Microdosing and Population Pharmacokinetic Modelling to Assess CYP3A Drug-Drug Interactions in Early Clinical Development;http://archiv.ub.uni-heidelberg.de/volltextserver/29312/1/WIEBE_Doktorarbeit_Final.pdf;10.1038/s41598-019-51279-6;gold;2045-2322;Scientific Reports;Springer Science and Business Media LLC;10.10.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
2;Christina Georgikou;Ingrid Herr;Germany;Universitat Heidelberg;cancer;28981109;supervisor;last;no;2020;Inhibition of pancreatic cancer progression by sulforaphane- mediated downregulation of miR30a-3p and sulforaphane derivatives;http://archiv.ub.uni-heidelberg.de/volltextserver/29102/7/Christina_Georgikou_Dissertation.pdf;10.1038/cddis.2017.455;gold;2041-4889;Cell Death & Disease;Springer Science and Business Media LLC;01.10.2017;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
2;Christina Georgikou;Ingrid Herr;Germany;Universitat Heidelberg;cancer;32429039;candidate;na;no;2020;Inhibition of pancreatic cancer progression by sulforaphane- mediated downregulation of miR30a-3p and sulforaphane derivatives;http://archiv.ub.uni-heidelberg.de/volltextserver/29102/7/Christina_Georgikou_Dissertation.pdf;10.3390/biom10050769;gold;2218-273X;Biomolecules;MDPI AG;15.05.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
3;Uzair Ali Khan;Hermann Brenner;Germany;Universitat Heidelberg;cancer;29626112;supervisor;last;no;2020;Colorectal cancer risk prediction and risk-adapted colorectal cancer screening in patients with diabetes mellitus;http://archiv.ub.uni-heidelberg.de/volltextserver/30612/1/AliKhan_Uzair_24_07_1994_Dissertation.pdf;10.15252/emmm.201708763;gold;1757-4676,1757-4684;EMBO Molecular Medicine;EMBO;06.04.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
3;Uzair Ali Khan;Hermann Brenner;Germany;Universitat Heidelberg;cancer;29514134;supervisor;last;no;2020;Colorectal cancer risk prediction and risk-adapted colorectal cancer screening in patients with diabetes mellitus;http://archiv.ub.uni-heidelberg.de/volltextserver/30612/1/AliKhan_Uzair_24_07_1994_Dissertation.pdf;10.18632/aging.101392;gold;1945-4589;Aging;Impact Journals, LLC;06.03.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
3;Uzair Ali Khan;Hermann Brenner;Germany;Universitat Heidelberg;cancer;33186354;candidate;na;no;2020;Colorectal cancer risk prediction and risk-adapted colorectal cancer screening in patients with diabetes mellitus;http://archiv.ub.uni-heidelberg.de/volltextserver/30612/1/AliKhan_Uzair_24_07_1994_Dissertation.pdf;10.1371/journal.pmed.1003431;gold;1549-1676;PLOS Medicine;Public Library of Science (PLoS);13.11.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
4;Laurent S V Thomas;Franz Schaefer;Germany;Universitat Heidelberg;"paedetrics
paediatrics";32024462;candidate;na;no;2021;Computer vision and data-analysis solutions for phenotypic screening of small model organisms;http://archiv.ub.uni-heidelberg.de/volltextserver/30804/1/PhDthesis_LaurentThomas.pdf;10.1186/s12859-020-3363-7;gold;1471-2105;BMC Bioinformatics;Springer Science and Business Media LLC;05.02.2020;TRUE;general-purpose repository, data availability statement;TRUE;availability of data and materials the image datasets used for this study are available on zenodo (links below).     availability of data and materials the image datasets used for this study are available on zenodo;"source codes and documentations are available on github (https://github. com/multi-template-matching).;     additional file 3: macro. 2step-templatematching.ijm available on the github repository at https://github.com/multi-template-matching/multi templatematching-fiji/blob/master/fiji.app/scripts/plugins/multi-templatematching/2step-templatematching.ijm . availability and requirements project name: multi-template matching project home page: https://multi-template-matching. github.io/multi-template-matching/ operating system(s): platform independent   thomas and gehrig bmc bioinformatics  (2020) 21:44  programming language: python other requirements: fiji with minimum image 1.52o ij-opencv 1.2.1 license: gpl v3.0 any restrictions to use by non-academics: any derived work should be under gpl-compatible license  supplementary information supplementary information accompanies this paper at https://doi.org/10. 1186/s12859-020-3363-7.";TRUE;yes;yes;NULL;NA;NA;NA;NA;NA
4;Laurent S V Thomas;Franz Schaefer;Germany;Universitat Heidelberg;"paedetrics
paediatrics";33841801;candidate;na;no;2021;Computer vision and data-analysis solutions for phenotypic screening of small model organisms;http://archiv.ub.uni-heidelberg.de/volltextserver/30804/1/PhDthesis_LaurentThomas.pdf;10.12688/f1000research.26872.1;gold;2046-1402;F1000Research;F1000 Research Ltd;15.10.2020;TRUE;general-purpose repository, data availability statement;TRUE;details about the deep learning implementation and individual workflow requirements is covered in supplementary figures (available on the zenodo repository) and in the online documentation of the github repository.     data availability underlying data  zenodo;"source codes documentation and example workflows are available at: https://github.com/laulauthom/fiji-qualiannotations.;     details about the deep learning implementation and individual workflow requirements is covered in supplementary figures (available on the zenodo repository) and in the online documentation of the github repository. details about the deep learning implementation and individual workflow requirements is covered in supplementary figures (available on the zenodo repository) and in the online documentation of the github repository.";TRUE;yes;yes;https://zenodo.org/record/3997728#.YgIJlC8w1pQ;NA;NA;NA;NA;NA
4;Laurent S V Thomas;Franz Schaefer;Germany;Universitat Heidelberg;"paedetrics
paediatrics";29049388;supervisor;last;no;2021;Computer vision and data-analysis solutions for phenotypic screening of small model organisms;http://archiv.ub.uni-heidelberg.de/volltextserver/30804/1/PhDthesis_LaurentThomas.pdf;10.1371/journal.pone.0186574;gold;1932-6203;PLOS ONE;Public Library of Science (PLoS);19.10.2017;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
4;Laurent S V Thomas;Franz Schaefer;Germany;Universitat Heidelberg;"paedetrics
paediatrics";31391470;supervisor;last;no;2021;Computer vision and data-analysis solutions for phenotypic screening of small model organisms;http://archiv.ub.uni-heidelberg.de/volltextserver/30804/1/PhDthesis_LaurentThomas.pdf;10.1038/s41598-019-46653-3;gold;2045-2322;Scientific Reports;Springer Science and Business Media LLC;07.08.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
5;Frank Gabel;Stefan Listl;Germany;Universitat Heidelberg;dentistry;31307491;supervisor;last;no;2020;Empirical methods for causal inference;http://archiv.ub.uni-heidelberg.de/volltextserver/30690/1/dissertation_Gabel.pdf;10.1186/s12960-019-0394-0;gold;1478-4491;Human Resources for Health;Springer Science and Business Media LLC;15.07.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
6;Andreas Staudt;Ulrich John;Germany;Universitat Heidelberg;public_health;32115002;supervisor;first;no;2020;Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption;https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf;10.1192/j.eurpsy.2020.27;gold;0924-9338,1778-3585;European Psychiatry;Royal College of Psychiatrists;01.01.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
6;Andreas Staudt;Ulrich John;Germany;Universitat Heidelberg;public_health;29702594;supervisor;first;no;2020;Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption;https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf;10.3390/ijerph15050873;gold;1660-4601;International Journal of Environmental Research and Public Health;MDPI AG;27.04.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
6;Andreas Staudt;Ulrich John;Germany;Universitat Heidelberg;public_health;31627718;supervisor;last;no;2020;Screening for at-risk alcohol use: The challenge of temporal changes in alcohol consumption;https://epub.ub.uni-greifswald.de/frontdoor/deliver/index/docId/4496/file/Diss_Staudt_komplett_PDF.pdf;10.1186/s12905-019-0821-3;gold;1472-6874;BMC Women's Health;Springer Science and Business Media LLC;18.10.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
9;Shi Lei;Shi Lei;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;immunology;32231344;supervisor;last;no;2021;In-vitro investigation of the impact of methadone on 5-ALA-PDT;https://edoc.ub.uni-muenchen.de/28976/1/Shi_Lei.pdf;10.1038/s41598-020-62657-w;gold;2045-2322;Scientific Reports;Springer Science and Business Media LLC;30.03.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
9;Shi Lei;Shi Lei;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;immunology;30251487;supervisor;last;no;2021;In-vitro investigation of the impact of methadone on 5-ALA-PDT;https://edoc.ub.uni-muenchen.de/28976/1/Shi_Lei.pdf;10.1117/1.jbo.23.9.091418;gold;1083-3668;Journal of Biomedical Optics;SPIE-Intl Soc Optical Eng;24.09.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
9;Shi Lei;Shi Lei;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;immunology;30460117;supervisor;last;no;2021;In-vitro investigation of the impact of methadone on 5-ALA-PDT;https://edoc.ub.uni-muenchen.de/28976/1/Shi_Lei.pdf;10.1364/boe.9.005115;gold;2156-7085,2156-7085;Biomedical Optics Express;The Optical Society;02.10.2018;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA
10;Anna Suraya;Dennis Nowak;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;public_health;33291582;supervisor;last;no;2021;Asbestos exposure in lung cancer: a hospital-based case control study in Indonesia;https://edoc.ub.uni-muenchen.de/28904/1/Suraya_Anna.pdf;10.3390/ijerph17239040;gold;1660-4601;International Journal of Environmental Research and Public Health;MDPI AG;04.12.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
10;Anna Suraya;Dennis Nowak;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;public_health;31963324;candidate;na;no;2021;Asbestos exposure in lung cancer: a hospital-based case control study in Indonesia;https://edoc.ub.uni-muenchen.de/28904/1/Suraya_Anna.pdf;10.3390/ijerph17020591;gold;1660-4601;International Journal of Environmental Research and Public Health;MDPI AG;16.01.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
10;Anna Suraya;Dennis Nowak;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;public_health;33505867;candidate;na;no;2021;Asbestos exposure in lung cancer: a hospital-based case control study in Indonesia;https://edoc.ub.uni-muenchen.de/28904/1/Suraya_Anna.pdf;10.5334/aogh.3155;gold;2214-9996;Annals of Global Health;Ubiquity Press, Ltd.;01.01.2021;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
11;Maximilian Grosch;Sibylle Ziegler;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;neurology;31428975;supervisor;last;no;2021;Metabolic brain connectivity after acute unilateral vestibulopathy: Longitudinal analysis and single subject classification in the rat.;https://edoc.ub.uni-muenchen.de/28874/7/Grosch_Maximilian.pdf;10.1186/s13550-019-0547-0;gold;2191-219X;EJNMMI Research;Springer Science and Business Media LLC;19.08.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
11;Maximilian Grosch;Sibylle Ziegler;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;neurology;33249212;candidate;na;no;2021;Metabolic brain connectivity after acute unilateral vestibulopathy: Longitudinal analysis and single subject classification in the rat.;https://edoc.ub.uni-muenchen.de/28874/7/Grosch_Maximilian.pdf;10.1016/j.neuroimage.2020.117588;gold;1053-8119;NeuroImage;Elsevier BV;01.02.2021;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
11;Maximilian Grosch;Sibylle Ziegler;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;neurology;33831550;candidate;na;no;2021;Metabolic brain connectivity after acute unilateral vestibulopathy: Longitudinal analysis and single subject classification in the rat.;https://edoc.ub.uni-muenchen.de/28874/7/Grosch_Maximilian.pdf;10.1016/j.neuroimage.2021.118007;gold;1053-8119;NeuroImage;Elsevier BV;01.07.2021;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
12;Olena Ivanova;Michael HÃƒÂ¶lscher;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;public_health;29940968;supervisor;last;no;2021;Formative research - an essential step in developing and adapting health interventions and policies in low- and lower-middle income countries;https://edoc.ub.uni-muenchen.de/28806/7/Ivanova_Olena.pdf;10.1186/s12936-018-2389-z;gold;1475-2875;Malaria Journal;Springer Science and Business Media LLC;26.06.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
12;Olena Ivanova;Michael HÃƒÂ¶lscher;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;public_health;32599726;candidate;na;no;2021;Formative research - an essential step in developing and adapting health interventions and policies in low- and lower-middle income countries;https://edoc.ub.uni-muenchen.de/28806/7/Ivanova_Olena.pdf;10.3390/ijerph17124535;gold;1660-4601;International Journal of Environmental Research and Public Health;MDPI AG;24.06.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
12;Olena Ivanova;Michael HÃƒÂ¶lscher;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;public_health;34328074;supervisor;last;no;2021;Formative research - an essential step in developing and adapting health interventions and policies in low- and lower-middle income countries;https://edoc.ub.uni-muenchen.de/28806/7/Ivanova_Olena.pdf;10.2807/1560-7917.es.2021.26.30.2100673;gold;1560-7917;Eurosurveillance;European Centre for Disease Control and Prevention (ECDC);29.07.2021;NA;NA;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA
13;Taylor A Breuniger;Jakob Linseisen;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;public_health;32868355;supervisor;last;no;2021;Habitual Diet, the Gut Microbiota, Fecal Metabolites and their Associations with Metabolic Diseases: Results from a Population-based Study;https://edoc.ub.uni-muenchen.de/28665/7/Breuninger_Taylor_A.pdf;10.1136/bmjopen-2019-036176;gold;2044-6055,2044-6055;BMJ Open;BMJ;01.08.2020;TRUE;data availability statement;FALSE;data availability statement no data are available. 11  bmj open: first published as 10.1136/bmjopen-2019-036176;NA;TRUE;NA;NA;NULL;NA;NA;NA;NA;NA
13;Taylor A Breuniger;Jakob Linseisen;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;public_health;31126078;supervisor;last;no;2021;Habitual Diet, the Gut Microbiota, Fecal Metabolites and their Associations with Metabolic Diseases: Results from a Population-based Study;https://edoc.ub.uni-muenchen.de/28665/7/Breuninger_Taylor_A.pdf;10.3390/nu11051151;gold;2072-6643;Nutrients;MDPI AG;23.05.2019;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
13;Taylor A Breuniger;Jakob Linseisen;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;public_health;33726846;candidate;na;no;2021;Habitual Diet, the Gut Microbiota, Fecal Metabolites and their Associations with Metabolic Diseases: Results from a Population-based Study;https://edoc.ub.uni-muenchen.de/28665/7/Breuninger_Taylor_A.pdf;10.1186/s40168-020-00969-9;gold;2049-2618;Microbiome;Springer Science and Business Media LLC;16.03.2021;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
14;Anna Rubinski;Michael Ewers;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;neuroscience;32790063;supervisor;first;no;2021;Effects of Amyloid and Tau Pathology on Brain Function and Cognition in Alzheimer's Disease;https://edoc.ub.uni-muenchen.de/28793/1/Rubinski_Anna.pdf;10.15252/emmm.202012308;gold;1757-4676,1757-4684;EMBO Molecular Medicine;EMBO;10.08.2020;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
14;Anna Rubinski;Michael Ewers;Germany;Ludwig-Maximilians-UniversitÃƒÂ_t MÃƒÂ_nchen;neuroscience;29510747;supervisor;last;no;2021;Effects of Amyloid and Tau Pathology on Brain Function and Cognition in Alzheimer's Disease;https://edoc.ub.uni-muenchen.de/28793/1/Rubinski_Anna.pdf;10.1186/s13195-018-0358-y;gold;1758-9193;Alzheimer's Research & Therapy;Springer Science and Business Media LLC;06.03.2018;FALSE;NA;FALSE;NA;NA;TRUE;NA;NA;NA;NA;NA;NA;NA;NA
